0.0000000E+00 1.8153151E-01 0.0000000E+00 8.3353154E-03 0.0000000E+00
1.9635150E-02 -3.7647716E-01 5.6520736E-01 1.4966274E-02 -3.2727921E-02
3.9270301E-02 5.0735952E-01 3.0779807E-01 -4.3459264E-02 -8.8936379E-02
5.8905451E-02 7.2452998E-01 1.2448038E+00 -3.3010032E-02 -7.4595877E-02
7.8540602E-02 5.6949978E-01 9.5902069E-01 -9.4611542E-02 -1.1405106E-01
9.8175752E-02 8.4288149E-01 1.3287366E+00 -4.5072286E-02 -1.6819712E-01
1.1781090E-01 9.0631894E-01 1.3797474E+00 -6.5971906E-02 -1.4294141E-01
1.3744605E-01 1.0297840E+00 1.4654707E+00 -9.9012341E-02 -1.8204399E-01
1.5708120E-01 1.0890329E+00 1.6152394E+00 -6.6309654E-02 -2.0406495E-01
1.7671635E-01 1.1728252E+00 1.6593818E+00 -9.4730132E-02 -1.9238029E-01
1.9635150E-01 1.2472118E+00 1.7511502E+00 -1.0932331E-01 -2.3382457E-01
2.1598665E-01 1.2634339E+00 1.8360551E+00 -8.2056081E-02 -2.2909308E-01
2.3562181E-01 1.3157197E+00 1.9126199E+00 -1.1177401E-01 -2.3090169E-01
2.5525696E-01 1.3573610E+00 1.9957486E+00 -1.0157102E-01 -2.6455046E-01
2.7489211E-01 1.3698594E+00 2.0686885E+00 -8.9492039E-02 -2.4939200E-01
2.9452726E-01 1.3925670E+00 2.1406768E+00 -1.0987334E-01 -2.6094215E-01
3.1416241E-01 1.4016650E+00 2.2257782E+00 -8.2373802E-02 -2.8058743E-01
3.3379756E-01 1.4076106E+00 2.3021542E+00 -8.0455086E-02 -2.6417855E-01
3.5343271E-01 1.4119106E+00 2.3766068E+00 -8.3319438E-02 -2.8822791E-01
3.7306786E-01 1.4091309E+00 2.4509803E+00 -5.4847271E-02 -2.8899541E-01
3.9270301E-01 1.3889036E+00 2.5263948E+00 -5.5349541E-02 -2.7881352E-01
4.1233816E-01 1.3691010E+00 2.6001975E+00 -3.8187018E-02 -2.9864778E-01
4.3197331E-01 1.3398354E+00 2.6898611E+00 -5.6515022E-03 -2.8795840E-01
4.5160846E-01 1.3000351E+00 2.7753195E+00 3.2757036E-03 -2.9034582E-01
4.7124361E-01 1.2665400E+00 2.8669224E+00 4.0048898E-02 -3.0501700E-01
4.9087876E-01 1.2208644E+00 2.9760113E+00 7.4937494E-02 -2.9739905E-01
5.1051391E-01 1.1720857E+00 3.0743707E+00 9.9191988E-02 -3.1220950E-01
5.3014906E-01 1.1356522E+00 3.1938794E+00 1.4985549E-01 -3.2708323E-01
5.4978421E-01 1.0808196E+00 3.3174491E+00 1.8700110E-01 -3.3278592E-01
5.6941936E-01 1.0416739E+00 3.4357775E+00 2.2623693E-01 -3.6107418E-01
5.8905451E-01 1.0054797E+00 3.5777824E+00 2.8082782E-01 -3.8415678E-01
